id,name_short,name,type,sex,birth,position,education,subject,party,religion,kids,twitter,instagram,facebook,youtube
fb,Brantner,FranziskaBrantner,0,1,1979,Staatssekretaer,Promotion,Politik,gruen,,1,14055,4460,2.746,26
ft,Toncar,FlorianToncar,0,2,1979,Staatssekretaer,Promotion,Recht,FDP,evangelisch,3,8589,3070,4477,99
rs,SchwarzeluehrSuetter,RitaSchwarzeluehrSuetter,0,1,1962,Staatssekretaer,Diplom,Wirtschaft,SPD,roemischKatholisch,2,4250,1534,2941,17
tl,Lindner,TobiasLindner,0,2,1982,Staatsminister,Promotion,Wirtschaft,gruen,,0,10519,3583,4920,
bs,Strasser,BenjaminStrasser,0,2,1987,Staatssekretaer,Staatsexamen,Recht,FDP,roemischKatholisch,0,5809,3921,3370,288
co,Oezdemir,CemOezdemir,0,2,1965,Bundesminister,Diplom,PÃ¤dagogik,gruen,,2,317320,105000,162576,
mt,Theurer,MichaelTheurer,0,2,1967,Staatssekretaer,Diplom,Wirtschaft,FDP,evangelisch,2,8481,3746,27914,
ck,Kuehn,ChristianKuehn,0,2,1979,Staatssekretaer,Magister,Politik,gruen,evangelischlutherisch,3,4788,1659,98,35
jb,Brandenburg,JensBrandenburg,0,2,1986,Staatssekretaer,Promotion,Politik,FDP,,0,5410,3324,,
bun,bun,BundesministeriumFuerUmweltNaturschutzNukleareSicherheitUndVerbraucherschutz,1,,,,,,,,,,,,
but,but,DeutscherBundestag,1,,,,,,,,,,,,
eu,eu,EuropaeischesParlament,1,,,,,,,,,,,,
fdpb,fdpb,FDPBW,1,,,,,,,,,,,,
ih,ih,AusschussInneresHeimat,1,,,,,,,,,,,,
jl,jl,JungeLiberale,1,,,,,,,,,,,,
ag,ag,Agora,1,,,,,,,,,,,,
ra,ra,Rechtsanwalt,1,,,,,,,,,,,,
un,un,Unternehmensberatung,1,,,,,,,,,,,,
fr,fr,Freiburg,1,,,,,,,,,,,,
tue,tue,Tuebingen,1,,,,,,,,,,,,
