from,to,relationship,year
bun,ck,1,
ck,bun,1,
bun,rs,1,
rs,bun,1,
but,jb,2,
jb,but,2,
but,mt,2,
mt,but,2,
but,co,2,
co,but,2,
but,bs,2,
bs,but,2,
but,tl,2,
tl,but,2,
but,rs,2,
rs,but,2,
but,ft,2,
ft,but,2,
fdpb,mt,2,
mt,fdpb,2,
fdpb,bs,2,
bs,fdpb,2,
ih,ft,2,
ft,ih,2,
ih,bs,2,
bs,ih,2,
jl,bs,2,
bs,jl,2,
jl,mt,2,
mt,jl,2,
jl,jb,2,
jb,jl,2,
ag,co,4,
co,ag,4,
ag,mt,4,
mt,ag,4,
ra,bs,6,
bs,ra,6,
ra,ft,6,
ft,ra,6,
un,rs,6,
rs,un,6,
un,jb,6,
jb,un,6,
fr,fb,7,
fb,fr,7,
fr,rs,7,
rs,fr,7,
tue,mt,7,
mt,tue,7,
tue,ck,7,
ck,tue,7,